# ----------------------------------------
# Consultas: Consulta de Pesquisa orgânica do Google
# Conta: Fymoob - Reserva Barigui
# Propriedade: Fymoob - Reserva Barigui
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260101
# Data de término: 20260429
Consulta de Pesquisa orgânica do Google,Cliques orgânicos da Pesquisa Google,Impressões orgânicas da Pesquisa Google,Taxa de cliques orgânica da Pesquisa Google,Posição média da Pesquisa orgânica do Google
chacara passauna,0,1,0,1
chácara para eventos em campo largo,0,1,0,1
condominio sunset agua verde 5,0,7,0,14.428571428571429
condominio terracota,0,12,0,13.333333333333334
condomínio moob residencial,0,2,0,32.5
condomínio terracota,0,4,0,10.25
corretor de imoveis curitiba,0,1,0,10
corretora de imoveis,0,1,0,2
corretora de imóveis,0,1,0,1
curitiba,0,1,0,1
curso de marketing digital curitiba,0,2,0,1
door 7710,0,4,0,43
edificio ama,0,3,0,11
endereço shopping barigui,0,1,0,1
essence novo mundo,0,12,0,1
fyoob,0,1,0,1
gomes imobiliaria curitiba,0,1,0,75
havan shopping sports,0,2,0,15.5
havan xaxim,0,1,0,38
hike auten,0,4,0,9.5
hike curitiba,0,6,0,17.666666666666668
imobiliaria,0,1,0,21
imobiliaria aluguel,0,1,0,4
imobiliaria curitiba,0,1,0,1
imobiliaria em curitiba,0,1,0,98
imobiliaria fymoob,0,5,0,1
imobiliaria perto de mim,0,1,0,1
imobiliaria portao,0,2,0,3.5
imobiliaria portão,0,1,0,1
imobiliarias,0,1,0,5
imobiliarias curitiba,0,2,0,35
imobiliarias curitiba pr,0,1,0,61
imobiliarias em curitiba,0,3,0,21
imobiliarias em curitiba para alugar,0,1,0,20
imobiliario,0,1,0,2
imobiliária em curitiba,0,1,0,1
imobiliária fazendinha,0,1,0,32
imobiliária perto de mim,0,2,0,1
imobiliária portao,0,1,0,25
imobiliária portão,0,1,0,1
imobiliárias em curitiba,0,2,0,19
imobiliário,0,1,0,2
imoboy,0,2,0,2.5
imoob,0,1,0,9
imoveis em construção curitiba,0,1,0,11
imovel,0,7,0,5.142857142857143
imovel para alugar,0,1,0,11
imóvel,0,1,0,1
le monde portão,0,7,0,10.714285714285714
lista de imobiliárias em curitiba,0,1,0,36
mai home curitiba,0,1,0,26
mai residence,0,1,0,45
mercadinho vitoria regia,0,1,0,42
mfob,0,1,0,3
mobiliado,0,2,0,10
mova wf,0,1,0,88
negócios imobiliários,0,1,0,2
offimo,0,1,0,10
pantucci portao,0,1,0,26
reserva barigui colina,0,2,0,61
reserva barigui lago,0,2,0,46
reserva colina,0,1,0,27
residencial cajuru 1 fotos,0,1,0,5
residencial clube chateau latour,0,1,0,50
residencial terracota,0,5,0,23.6
residencial terracota i,0,76,0,7.447368421052632
"rua affife mansur, 688",0,1,0,26
rua alberto kosop 280,0,33,0,10.121212121212121
rua engenheiro heitor soares gomes,0,9,0,8.88888888888889
"rua francisco derosso, 3488",0,1,0,7
rua heitor soares gomes,0,1,0,22
rua irati 351,0,3,0,10.666666666666666
rua mar vermelho 913,0,1,0,1
rua pedro zielinski,0,1,0,8
rua pedro zielinski araucária,0,11,0,9.636363636363637
shopping fy,0,1,0,12
shopping no xaxim,0,1,0,46
shopping sport xaxim,0,3,0,8.666666666666668
shopping sports xaxim,0,23,0,9.782608695652174
shopping xaxim,0,6,0,12.166666666666666
sim imoveis,0,1,0,4
sobrado vitoria regia,0,1,0,9
sobrados para vender,0,1,0,12
studio park curitiba,0,2,0,27
subway xaxim,0,3,0,49
sunset 5 agua verde,0,3,0,11.666666666666666
supermercado vitória régia,0,6,0,10.166666666666666
terracota 1,0,1,0,11
terracota condominio,0,5,0,8.2
terracota imoveis,0,1,0,11
terracota residencial,0,16,0,35.0625
terrenos a venda em curitiba,0,1,0,11
tibo curitiba,0,1,0,29
trebbiano residencial,0,14,0,31.285714285714285
trebbiano residencial curitiba,0,1,0,10
trevi batel,0,20,0,21
vittace bosque,0,2,0,6.5
vitória regia cic,0,1,0,77
webimóveis,0,1,0,7
zefy curitiba,0,2,0,11
